Connecting to host h3, port 5001
[  6] local 192.168.1.1 port 56074 connected to 192.168.6.1 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec  7.95 MBytes  66.7 Mbits/sec    0    683 KBytes       
[  6]   1.00-2.00   sec  7.50 MBytes  62.9 Mbits/sec    0    976 KBytes       
[  6]   2.00-3.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.24 MBytes       
[  6]   3.00-4.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1.51 MBytes       
[  6]   4.00-5.00   sec  7.50 MBytes  62.9 Mbits/sec    0   1.80 MBytes       
[  6]   5.00-6.00   sec  6.25 MBytes  52.4 Mbits/sec    0   2.08 MBytes       
[  6]   6.00-7.00   sec  7.50 MBytes  62.9 Mbits/sec    0   2.37 MBytes       
[  6]   7.00-8.00   sec  6.25 MBytes  52.4 Mbits/sec    0   2.65 MBytes       
[  6]   8.00-9.00   sec  6.25 MBytes  52.4 Mbits/sec    0   2.93 MBytes       
[  6]   9.00-10.00  sec  5.00 MBytes  41.9 Mbits/sec    0   3.22 MBytes       
[  6]  10.00-11.00  sec  6.25 MBytes  52.4 Mbits/sec    0   3.50 MBytes       
[  6]  11.00-12.00  sec  3.75 MBytes  31.4 Mbits/sec   73   3.05 MBytes       
[  6]  12.00-13.00  sec  7.50 MBytes  62.9 Mbits/sec  102   1.64 MBytes       
[  6]  13.00-14.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1.89 MBytes       
[  6]  14.00-15.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.99 MBytes       
[  6]  15.00-16.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.06 MBytes       
[  6]  16.00-17.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.12 MBytes       
[  6]  17.00-18.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.16 MBytes       
[  6]  18.00-19.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.18 MBytes       
[  6]  19.00-20.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.19 MBytes       
[  6]  20.00-21.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.20 MBytes       
[  6]  21.00-22.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.20 MBytes       
[  6]  22.00-23.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.20 MBytes       
[  6]  23.00-24.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.20 MBytes       
[  6]  24.00-25.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.21 MBytes       
[  6]  25.00-26.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.23 MBytes       
[  6]  26.00-27.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.26 MBytes       
[  6]  27.00-28.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.30 MBytes       
[  6]  28.00-29.00  sec  6.25 MBytes  52.4 Mbits/sec    0   2.37 MBytes       
[  6]  29.00-30.00  sec  5.00 MBytes  41.9 Mbits/sec    0   2.45 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-30.00  sec   180 MBytes  50.5 Mbits/sec  175             sender
